Brand;Model;Variant;Price;FuelType;BodyType;Doors;Seats;Transmission
Tata;Nano Genx;Xt;Rs. 2,92,667;Petrol;Hatchback;5;4;Manual
Tata;Nano Genx;Xe;Rs. 2,36,447;Petrol;Hatchback;5;4;Manual
Tata;Nano Genx;Emax Xm;Rs. 2,96,661;CNG;Hatchback;4;4;Manual
Tata;Nano Genx;Xta;Rs. 3,34,768;Petrol;Hatchback;5;4;Automatic
Tata;Nano Genx;Xm;Rs. 2,72,223;Petrol;Hatchback;5;4;Manual
Tata;Nano Genx;Xma;Rs. 3,14,815;Petrol;Hatchback;5;4;Automatic
Datsun;Redi-Go;D;Rs. 2,79,650;Petrol;Hatchback;5;5;Manual
Datsun;Redi-Go;T;Rs. 3,51,832;Petrol;Hatchback;5;5;Manual
Datsun;Redi-Go;A;Rs. 3,33,419;Petrol;Hatchback;5;5;Manual
Datsun;Redi-Go;S;Rs. 3,62,000;Petrol;Hatchback;5;5;Manual
Datsun;Redi-Go;1.0 S;Rs. 3,90,000;Petrol;Hatchback;5;5;Manual
Datsun;Redi-Go;1.0 S Amt;Rs. 4,37,065;Petrol;Hatchback;5;5;Automatic
Renault;Kwid;Rxe 0.8;Rs. 3,53,290;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Std 0.8;Rs. 2,83,290;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Rxl 0.8;Rs. 3,83,290;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Rxt 0.8;Rs. 4,13,290;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Rxt 1.0;Rs. 4,33,290;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Climber 1.0 Mt;Rs. 4,54,490;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Rxt Amt 1.0;Rs. 4,63,290;Petrol;Hatchback;5;5;Automatic
Renault;Kwid;Climber Amt 1.0;Rs. 4,84,490;Petrol;Hatchback;5;5;Automatic
Renault;Kwid;Rxt (O) 1.0;Rs. 4,40,990;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Rxt (O) Amt 1.0;Rs. 4,70,990;Petrol;Hatchback;5;5;Automatic
Renault;Kwid;Climber (O) Mt 1.0;Rs. 4,62,190;Petrol;Hatchback;5;5;Manual
Renault;Kwid;Climber (O) Amt 1.0;Rs. 4,92,190;Petrol;Hatchback;5;5;Automatic
Maruti Suzuki;Eeco;5 Str;Rs. 3,52,136;Petrol;MPV;5;5;Manual
Maruti Suzuki;Eeco;7 Str;Rs. 3,80,573;Petrol;MPV;5;7;Manual
Maruti Suzuki;Eeco;5 Str With Ac+Htr;Rs. 3,92,967;Petrol;MPV;5;5;Manual
Maruti Suzuki;Eeco;5 Str With Ac+Htr Cng;Rs. 4,66,057;CNG;MPV;5;5;Manual
Maruti Suzuki;Eeco;5 Str With Htr Cng;Rs. 4,25,255;CNG;MPV;5;5;Manual
Maruti Suzuki;Alto K10;Lxi;Rs. 3,77,588;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Alto K10;Vxi;Rs. 3,94,036;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Alto K10;Lx;Rs. 3,60,843;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Alto K10;Vxi (O);Rs. 4,07,238;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Alto K10;Lxi Cng (O);Rs. 4,39,777;CNG;Hatchback;5;5;Manual
Maruti Suzuki;Alto K10;Vxi Amt (O);Rs. 4,38,559;Petrol;Hatchback;5;5;Automatic
Datsun;Go;D;Rs. 3,74,990;Petrol;Hatchback;5;5;Manual
Datsun;Go;T;Rs. 4,68,229;Petrol;Hatchback;5;5;Manual
Datsun;Go;T (O);Rs. 5,02,492;Petrol;Hatchback;5;5;Manual
Datsun;Go;A (O);Rs. 4,99,990;Petrol;Hatchback;5;5;Manual
Datsun;Go;A;Rs. 4,69,990;Petrol;Hatchback;5;5;Manual
Datsun;Go;T Vdc;Rs. 5,28,464;Petrol;Hatchback;5;5;Manual
Datsun;Go;T (O) Vdc;Rs. 5,53,015;Petrol;Hatchback;5;5;Manual
Datsun;Go;T Cvt;Rs. 5,94,464;Petrol;Hatchback;5;5;Manual
Datsun;Go;T (O) Cvt;Rs. 6,18,015;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Celerio Tour;H2;Rs. 4,22,444;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Celerio Tour;H2 Cng;Rs. 4,80,670;CNG;Hatchback;5;5;Manual
Hyundai;Santro;Era Mt;Rs. 4,29,990;Petrol;Hatchback;4;5;Manual
Hyundai;Santro;Magna Mt;Rs. 5,03,990;Petrol;Hatchback;4;5;Manual
Hyundai;Santro;Magna Mt Cng;Rs. 5,47,990;CNG;Hatchback;4;5;Manual
Hyundai;Santro;Magna Amt;Rs. 5,30,990;Petrol;Hatchback;4;5;AMT
Hyundai;Santro;Sportz Mt;Rs. 5,12,990;Petrol;Hatchback;4;5;Manual
Hyundai;Santro;Sportz Mt Cng;Rs. 5,78,990;CNG;Hatchback;4;5;Manual
Hyundai;Santro;Sportz Amt;Rs. 5,70,990;Petrol;Hatchback;4;5;AMT
Hyundai;Santro;Asta Mt;Rs. 5,56,490;Petrol;Hatchback;4;5;Manual
Tata;Tiago;Revotron Xe;Rs. 4,60,000;Petrol;Hatchback;5;5;Manual
Tata;Tiago;Revotron Xt;Rs. 5,20,000;Petrol;Hatchback;5;5;Manual
Tata;Tiago;Revotron Xz;Rs. 5,70,000;Petrol;Hatchback;5;5;Manual
Tata;Tiago;Revotron Xz Plus;Rs. 5,99,000;Petrol;Hatchback;5;5;Manual
Tata;Tiago;Revotron Xz Plus Dual Tone;Rs. 6,10,000;Petrol;Hatchback;5;5;Manual
Tata;Tiago;Revotron Xza;Rs. 6,20,000;Petrol;Hatchback;5;5;AMT
Tata;Tiago;Revotron Xza Plus;Rs. 6,49,000;Petrol;Hatchback;5;5;AMT
Tata;Tiago;Revotron Xza Plus Dual Tone;Rs. 6,60,000;Petrol;Hatchback;5;5;AMT
Maruti Suzuki;Celerio X;Vxi (O);Rs. 4,81,074;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Celerio X;Vxi;Rs. 4,75,198;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Celerio X;Vxi Amt;Rs. 5,18,198;Petrol;Hatchback;5;5;Automatic
Maruti Suzuki;Celerio X;Vxi Amt (O);Rs. 5,24,074;Petrol;Hatchback;5;5;Automatic
Maruti Suzuki;Celerio X;Zxi;Rs. 4,99,734;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Celerio X;Zxi (O);Rs. 5,40,350;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Celerio X;Zxi Amt;Rs. 5,42,735;Petrol;Hatchback;5;5;Automatic
Maruti Suzuki;Celerio X;Zxi Amt (O);Rs. 5,52,350;Petrol;Hatchback;5;5;Automatic
Maruti Suzuki;Ignis;Alpha 1.2 Amt;Rs. 7,13,898;Petrol;Hatchback;5;5;AMT
Maruti Suzuki;Ignis;Alpha 1.2 Mt;Rs. 6,66,898;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Ignis;Delta 1.2 Amt;Rs. 6,07,841;Petrol;Hatchback;5;5;AMT
Maruti Suzuki;Ignis;Delta 1.2 Mt;Rs. 5,60,841;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Ignis;Sigma 1.2 Mt;Rs. 4,83,320;Petrol;Hatchback;5;5;Manual
Maruti Suzuki;Ignis;Zeta 1.2 Amt;Rs. 6,30,320;Petrol;Hatchback;5;5;AMT
Maruti Suzuki;Ignis;Zeta 1.2 Mt;Rs. 5,83,320;Petrol;Hatchback;5;5;Manual
Renault;Triber;Rxe;Rs. 4,95,000;Petrol;MUV;5;7;Manual
